Hat Adı,2004,2009,2014,2015,2016,2017,2018,2019,İşletme Türü
Yenikapı - Bağcılar (Kirazlı) - Atatürk Havalimanı (M1),"175,595","161,341","330,301","472,377","491,118","458,657","477,234","545,062",Metro İstanbul
Yenikapı – Hacıosman (M2),"119,205","231,163","381,162","542,366","510,531","544,321","591,510","629,754",Metro İstanbul
Bağcılar (Kirazlı) - Olimpiyat – Başakşehir (M3),,,"31,799","104,269","78,289","73,075","71,083","74,720",Metro İstanbul
Kadıköy – Tavşantepe (M4),,,"222,473","308,290","341,554","370,667","373,040","353,266",Metro İstanbul
Levent - Boğaziçi Üniversitesi – Hisarüstü (M6),,,"4,626","27,882","23,334","24,702","22,964","25,184",Metro İstanbul
Bağcılar – Kabataş (T1),"134,757","271,407","432,185","410,431","397,409","425,009","457,535","648,085",Metro İstanbul
Kadıköy – Moda (T3),"1,423","5,000","2,005","2,005","2,005","3,513","3,838","5,723",Metro İstanbul
Topkapı - Mescidi Selam (T4),,"84,760","118,413","158,437","167,499","176,329","182,816","249,790",Metro İstanbul
Taksim  - Kabataş (F1),,"39,193","43,134","38,149","30,709","18,836","22,481","32,861",Metro İstanbul
Maçka – Taşkışla Teleferiği (TF1),681,"2,000","2,467","1,546","1,784","2,619","2,007","4,365",Metro İstanbul
Eyüpsultan – Piyerloti Teleferiği (TF2),,"2,100","5,757","6,945","6,530","7,148","6,833","7,428",Metro İstanbul
Üsküdar - Ümraniye – Çekmeköy Metro Hattı,,,,,,"103,557","192,724","246,691",Metro İstanbul
Tünel – Taksim  Nostaljik Tramvay ,,"5,000","1,676","1,957","1,957",,"1,526","1,873",İETT
Tünel – Karaköy ,,"14,000","15,412","14,403","14,742","16,240","17,483","26,320",İETT
Gebze - Halkalı Marmaray Banliyo Hattı,,,"171,352","209,983","209,983","221,355","286,840","550,871",TCDD
